                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.377,                 4.3356,                 1.8717,                0.00202,                   0.25,                0.03477,                0.01258,                 2.3588,                 4.7775,                 1.7978,                      0,                      0,                      0
                      2,                 2.5366,                 4.2978,                 1.8828,                0.00206,                   0.25,                0.08699,                0.02114,                 2.2899,                 4.7411,                 1.7413,             1.1675e-05,             1.1675e-05,             1.1675e-05
                      3,                 2.2784,                 4.8887,                  1.669,                0.00211,                   0.25,                 0.1525,                0.03067,                 2.2177,                 4.6505,                 1.6921,               2.17e-05,               2.17e-05,               2.17e-05
                      4,                 2.4034,                 4.2357,                 1.7579,                0.01343,                   0.25,                0.20913,                0.05067,                  2.301,                 4.3063,                 1.7788,             3.0075e-05,             3.0075e-05,             3.0075e-05
                      5,                 2.7141,                 4.8938,                 1.9507,                   0.75,                 0.1471,                0.23453,                0.06262,                 2.3571,                  3.883,                 1.7668,               3.68e-05,               3.68e-05,               3.68e-05
                      6,                 2.5451,                 4.0873,                 1.9892,                0.67069,                0.18275,                0.27172,                0.09602,                 2.3336,                 3.4013,                 1.7513,             4.1875e-05,             4.1875e-05,             4.1875e-05
                      7,                 2.4038,                 3.3664,                 1.9896,                0.93682,                 0.2473,                0.31381,                0.10269,                 2.2211,                 2.8717,                 1.6361,               4.53e-05,               4.53e-05,               4.53e-05
                      8,                 2.3839,                  2.926,                 1.8793,                0.93702,                0.24809,                 0.4804,                0.18584,                 2.2645,                 2.4732,                 1.6407,             4.7075e-05,             4.7075e-05,             4.7075e-05
                      9,                 2.3136,                 3.0694,                 1.8706,                0.35265,                    0.5,                 0.4936,                0.20991,                 2.2212,                 2.2154,                 1.6046,               4.72e-05,               4.72e-05,               4.72e-05
                     10,                 2.3906,                 2.8304,                 1.8663,                0.27326,                    0.5,                0.51513,                0.22034,                 2.2064,                 2.0027,                 1.5814,             4.5675e-05,             4.5675e-05,             4.5675e-05
                     11,                 2.0438,                 2.7316,                 1.6432,                0.32173,                    0.5,                0.55979,                0.26064,                 2.1786,                 1.8555,                 1.5625,               4.25e-05,               4.25e-05,               4.25e-05
                     12,                 2.0551,                 2.3339,                 1.6186,                0.35876,                    0.5,                0.55861,                0.29644,                 2.2012,                 1.7663,                 1.5806,             3.7675e-05,             3.7675e-05,             3.7675e-05
                     13,                 2.4076,                 3.0067,                 2.0766,                0.42417,                 0.6039,                 0.6024,                0.32125,                  2.187,                 1.7473,                 1.5612,               3.12e-05,               3.12e-05,               3.12e-05
                     14,                 2.2375,                 2.2888,                 1.6606,                 0.4391,                  0.625,                0.62235,                 0.3239,                  2.166,                 1.7795,                 1.5493,             2.3075e-05,             2.3075e-05,             2.3075e-05
                     15,                 2.0229,                 2.4873,                 1.6946,                0.50755,                0.71583,                0.66493,                0.32871,                 2.1487,                 1.8083,                 1.5395,               1.33e-05,               1.33e-05,               1.33e-05
